poiID,avgDuration,nVisit,poiCat,poiLon,poiLat,popularity
1,3796.4654867256636,565,Historical,-3.199862034580875,55.94884683716422,426
2,1362.0064102564102,156,Historical,-3.1724675937052966,55.95276297997137,127
3,2217.6033898305086,590,Museum,-3.190347155095568,55.9467227646501,312
4,1403.7587548638132,257,Structure,-3.1751214683972875,55.95223434537238,187
5,0.36363636363636365,11,Structure,-3.3887200833333337,55.999739000000005,10
6,0.0,10,Structure,-3.404049090909091,56.0012820909091,10
7,1087.1971830985915,71,Park,-3.1618879074074004,55.94412091798946,62
8,1723.816151202749,582,Historical,-3.193193944356141,55.952538583465206,356
9,2228.843592330979,991,Cultural,-3.190637230008985,55.94980869047352,492
10,968.8802083333334,192,Park,-3.1829573739644994,55.95515047337272,148
11,1023.2451923076923,208,Historical,-3.181937191191187,55.95460454054049,159
12,1548.1106870229007,262,Cultural,-3.20449062748348,55.94680475745124,131
13,3377.8947368421054,228,Cultural,-3.1869824308822845,55.94635503896903,101
14,3206.4545454545455,110,Structure,-3.209618379562047,55.94610982238432,53
15,1014.4295154185022,454,Structure,-3.196984674391582,55.95182393800676,274
16,355.75634517766497,197,Museum,-3.195737522458634,55.95100889834512,159
17,1654.457227138643,339,Structure,-3.1902347191097684,55.948767777436686,202
18,1166.4357682619648,397,Park,-3.202453709104388,55.95054091561817,256
19,1543.5822550831792,541,Structure,-3.1892391019884583,55.95262047466306,306
20,2385.0081967213114,122,Park,-3.207734793416563,55.96588335187255,64
21,1702.4657534246576,73,Structure,-3.172436005988025,55.977925371257456,33
22,1362.0747663551401,107,Structure,-3.2076172933754026,55.95175426182978,68
23,820.7842105263157,190,Structure,-3.1847238000000044,55.95370758124997,146
24,1277.4615384615386,117,Entertainment,-3.174234127139373,55.95074926405848,85
25,0.0,4,Historical,-3.2392286,55.9184182,4
27,1822.3064516129032,62,Museum,-3.227194834319524,55.95087610650889,47
28,2188.3487544483987,281,Structure,-3.1868621630188576,55.94824579547164,144
29,2521.944293478261,736,Structure,-3.1952324337146703,55.94908885935436,482
